,SHA,SIN,HKG,ROT,HAM,ANT,LAX,NYK,DXB,COL,MOM,SAO
SHA,0.0,93.51310473746979,30.15195875026964,219.1030898816719,209.16690387861115,220.42163441743196,256.64791895690877,291.1733644203407,158.42151068088367,125.00185807409093,232.32999189294668,455.70603135393554
SIN,93.51310473746979,0.0,63.545694438167544,258.56135669915767,249.04110450534438,258.9679823104658,347.06906352907566,376.63366300971813,143.72312938260927,67.0904070469518,175.66547213945194,391.0960032141087
HKG,30.15195875026964,63.545694438167544,0.0,228.94717612337266,218.81770118030155,229.98890282680497,286.48148168841675,318.1550354691337,146.78243678555503,99.48721321298908,210.9871402854574,442.13100390500455
ROT,219.1030898816719,258.56135669915767,228.94717612337266,0.0,10.13005849412531,1.9151917704434949,220.55636521011058,143.8217820021555,127.08394112234004,206.17134246292397,173.1139409873082,239.88999453713265
HAM,209.16690387861115,249.04110450534438,218.81770118030155,10.13005849412531,0.0,11.27035911169671,223.54822511880064,150.59588085611907,119.9033141805081,197.95603997061025,171.20732376077697,249.5958016526364
ANT,220.42163441743196,258.9679823104658,229.98890282680497,1.9151917704434949,11.27035911169671,0.0,221.80857701952584,144.38180847215952,126.72013650593043,206.06745978088665,171.7409328623269,238.4457184863068
LAX,256.64791895690877,347.06906352907566,286.48148168841675,220.55636521011058,223.54822511880064,221.80857701952584,0.0,96.95081035206613,330.054886011752,370.7784696769777,392.72635401504266,244.0223585883752
NYK,291.1733644203407,376.63366300971813,318.1550354691337,143.8217820021555,150.59588085611907,144.38180847215952,96.95081035206613,0.0,270.4889884359273,345.77032285961536,301.56066019318047,189.83014858490233
DXB,158.42151068088367,143.72312938260927,146.78243678555503,127.08394112234004,119.9033141805081,126.72013650593043,330.054886011752,270.4889884359273,0.0,81.31032684213054,89.15269665383717,299.0488747044914
COL,125.00185807409093,67.0904070469518,99.48721321298908,206.17134246292397,197.95603997061025,206.06745978088665,370.7784696769777,345.77032285961536,81.31032684213054,0.0,113.50411151508634,343.2407883591846
MOM,232.32999189294668,175.66547213945194,210.9871402854574,173.1139409873082,171.20732376077697,171.7409328623269,392.72635401504266,301.56066019318047,89.15269665383717,113.50411151508634,0.0,231.14797753834299
SAO,455.70603135393554,391.0960032141087,442.13100390500455,239.88999453713265,249.5958016526364,238.4457184863068,244.0223585883752,189.83014858490233,299.0488747044914,343.2407883591846,231.14797753834299,0.0
